movie_id,domestic_revenue,international_revenue,worldwide_revenue
tt0164912,133000000,140035367,160100000
tt0165494,20000000,9257103,0
tt0165643,12000000,5277299,264132
tt0165710,34000000,4217115,0
tt0165854,10000000,3204663,121073
tt0165929,25000000,55973336,35063424
tt0165982,60000000,26483452,54289625
tt0166110,16000000,7316658,1062195
tt0166252,20000000,8302478,0
tt0166276,75000000,5411999,2210366
tt0166485,92000000,39263420,74733517
tt0166813,80000000,73280117,49283422
tt0166943,27000000,14859394,77013
tt0167190,66000000,59623958,39755027
tt0167203,50000000,6651522,7748805
tt0167260,94000000,377845905,764373496
tt0167261,94000000,342551365,608656724
tt0167404,40000000,293506292,379300000
tt0167427,34000000,30636478,0
tt0167456,57000000,6880917,21402720
tt0168501,9000000,34102780,471000
tt0168786,12500000,21078145,2289441
tt0169547,15000000,130096601,226200000
tt0170016,123000000,260044825,85096578
tt0171356,14000000,1638202,1646242
tt0171363,80000000,91411151,85900000
tt0171433,29000000,37047880,22897303
tt0171580,35000000,25170054,4194935
tt0171804,2000000,11540607,0
tt0172156,130000000,138608444,134731112
tt0172396,23000000,10827816,0
tt0172493,40000000,28912646,19437559
tt0172495,103000000,187705427,272878533
tt0172726,13000000,5985690,0
tt0173840,137000000,32131830,53000000
tt0174336,3000000,4159986,615023
tt0174480,65000000,37761915,52964753
tt0174856,50000000,50699241,23257000
tt0175142,19000000,157019771,121000000
tt0175880,37000000,22455976,25995827
tt0176269,45000000,10667893,0
tt0176783,24000000,5108820,7482450
tt0177650,16000000,146193,0
tt0177789,45000000,71583916,19100000
tt0177971,140000000,182618434,146100000
tt0179098,21000000,6835856,3175194
tt0179626,60000000,24403552,31956428
tt0180052,100000000,4420080,2683893
tt0180734,32000000,40222729,3879660
tt0181151,60000000,6291602,7854075
tt0181316,65000000,68518533,49239967
tt0181689,102000000,132072926,226300000
tt0181852,200000000,150371112,283000000
tt0181875,60000000,32534850,14848839
tt0181984,7000000,16970581,11809674
tt0182000,13500000,687194,107287
tt0182295,13000000,299792,0
tt0182789,100000000,58223861,29200000
tt0183505,51000000,90570999,58700000
tt0183523,100000000,60883407,50100000
tt0183649,13000000,46566212,51270926
tt0183790,65000000,56569702,60917771
tt0184858,42000000,23368995,8799975
tt0184894,55000000,56937502,42336965
tt0184907,13000000,60020107,2444624
tt0185014,55000000,19393557,14033031
tt0185183,73000000,21471685,8253978
tt0185371,37000000,40846082,1747373
tt0185431,85000000,39464775,18827520
tt0185937,60000,140539099,108100000
tt0186045,37000000,15506764,403340
tt0186151,31000000,45010278,23095967
tt0186253,2500000,1302067,0
tt0186566,65000000,90464773,38419359
tt0186589,27000000,13305101,3618660
tt0186894,35000000,36805288,16620004
tt0186975,11000000,20069008,4350906
tt0187078,90000000,101648571,135553728
tt0187393,110000000,113330342,101964000
tt0187738,54000000,82348319,72661713
tt0188160,18000000,3440228,108328
tt0188640,13000000,10037390,2886673
tt0189192,35000000,4781539,11395193
tt0189584,7000000,3165544,563344
tt0190138,41300000,57262492,49109159
tt0190332,17000000,128078872,85446864
tt0190374,45000000,15391970,18586724
tt0190641,30000000,85744662,77900000
tt0190865,75000000,69243859,146420000
tt0191133,30000000,30250745,3721317
tt0191397,50000000,44737059,5317452
tt0191754,43000000,37170488,25028457
tt0192071,22000000,11576464,8323902
tt0192111,14000000,10424470,2702552
tt0192255,35000000,13572400,14393465
tt0192614,35000000,35046120,15756000
tt0192731,14000000,21468807,17105555
tt0193560,38000000,623374,140366
tt0194218,1000000,779137,0
tt0195234,10000000,12178602,16562728
tt0195685,52000000,125595205,130676081
tt0195714,23000000,53331147,59549147
tt0195778,15000000,10522168,350980
tt0195945,11000000,57328603,2498725
tt0196216,25000000,17266359,12668118
tt0196229,28000000,45172250,15608731
tt0196857,24000000,8434146,244666
tt0198021,15000000,33772838,7090880
tt0198386,38000000,13023075,82778
tt0198781,115000000,289916256,342400393
tt0199290,3400000,9832166,0
tt0199725,20000000,27459615,268503
tt0199753,80000000,17480890,15983079
tt0200469,5250000,10155690,0
tt0200550,45000000,60786269,53130205
tt0202402,32000000,8745680,1156435
tt0202470,57000000,17008282,2325863
tt0202677,8500000,6055661,7145311
tt0203009,50000000,57386607,127541528
tt0203019,32000000,48818921,33524574
tt0203408,8000000,12614346,0
tt0203755,18000000,6290673,7287513
tt0204175,35000000,21799652,4050963
tt0204313,80000000,41821986,36288035
tt0204626,30000000,28946615,18321214
tt0204946,11000000,68379000,22070929
tt0205000,17000000,65538755,27400000
tt0205271,23000000,13113041,9731250
tt0206314,23000000,21974919,14667919
tt0206420,8000000,5020111,5174163
tt0206634,76000000,35552383,35043081
tt0206963,5250000,568762,26243
tt0207201,70000000,182811707,191300000
tt0208003,30000000,117559438,56400000
tt0208874,20000000,17872723,4556267
tt0208988,63600000,14967182,4445811
tt0209144,9000000,25544867,14178229
tt0209163,98000000,202019785,241261119
tt0209475,35000000,60400856,34327673
tt0209958,33000000,61334059,42821784
tt0210234,30000000,43758684,90190586
tt0210567,14000000,3157348,12582
tt0210616,29000000,17200925,9185016
tt0210945,30000000,115654751,21051932
tt0211181,85000000,66957026,116654745
tt0211443,11000000,13121555,3956327
tt0211915,10000000,33225499,140699243
tt0211933,8600000,14377198,18352864
tt0211938,51000000,15325127,146842
tt0212338,55000000,166244045,164200000
tt0212346,45000000,106807667,105935053
tt0212712,12000000,1444588,18025651
tt0212720,100000000,78616689,157309863
